feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
retest_high_count,1_MARKET_STRUCTURE,1c_retest,ALIVE,,False,16746,0.0,6,0,75.55,0.613539631811967
retest_high_delta_div,7_REVERSAL_EXHAUSTION,7_delta_div,DEAD,std<0.00e+00 | top_freq>97%,False,16746,0.0,2,False,97.49,0.0
retest_low_count,1_MARKET_STRUCTURE,1c_retest,ALIVE,,False,16746,0.0,5,0,88.5,0.42827628910561805
retest_low_delta_div,7_REVERSAL_EXHAUSTION,7_delta_div,DEAD,std<0.00e+00 | top_freq>96%,False,16746,0.0,2,False,95.99,0.0
roll_phase,10_SESSION_CALENDAR,10_roll,ALIVE,,False,16746,0.0,2,1,82.35,0.7625235423403719
rotation_dn,5_ORDER_FLOW,5a_rotation,ALIVE,,False,16746,0.0,2,0.0,77.19,0.41957791134798433
rotation_up,5_ORDER_FLOW,5a_rotation,ALIVE,,False,16746,0.0,2,0.0,78.7,0.4094319188837226
rotation_zz_osc,5_ORDER_FLOW,5a_rotation,ALIVE,,False,16746,0.0,433,0.0,3.88,16.639605706944025
rule_80pct,1_MARKET_STRUCTURE,1a_tpo_concepts,DEAD,top_freq>100%,False,16746,0.0,2,0,99.67,0.05773126781323925
rvol,5_ORDER_FLOW,5d_rvol,ALIVE,,False,16746,0.0,4063,0.8333,0.13,0.7178032970580663
rvol_absorb_buy,5_ORDER_FLOW,5d_rvol,ALIVE,,True,16746,0.0,2,0,99.31,0.0829400002526513
rvol_absorb_sell,5_ORDER_FLOW,5d_rvol,ALIVE,,True,16746,0.0,2,0,98.97,0.10111428841124355
rvol_buy,5_ORDER_FLOW,5d_rvol,DEAD,top_freq>97%,False,16746,0.0,2,0,96.82,0.17538393650285589
rvol_buy_strong,5_ORDER_FLOW,5d_rvol,DEAD,CONSTANT,True,16746,42.73,1,0,100.0,0.0
rvol_extreme,5_ORDER_FLOW,5d_rvol,ALIVE,,True,16746,42.73,2,0,99.17,0.0909482178402226
rvol_regime,5_ORDER_FLOW,5d_rvol,ALIVE,,False,16746,42.73,5,1,41.66,0.9188319619956892
rvol_sell,5_ORDER_FLOW,5d_rvol,DEAD,top_freq>98%,False,16746,0.0,2,0,97.5,0.15600680759470087
rvol_sell_strong,5_ORDER_FLOW,5d_rvol,ALIVE,,True,16746,42.73,2,0,99.96,0.020417730557801182
rvol_zscore,5_ORDER_FLOW,5d_rvol,ALIVE,,False,16746,0.0,4416,-0.4565,0.11,1.0681334718576767
schema_version,META,0c_observability,DEAD,CONSTANT | top_freq>100%,False,16746,52.25,1,'sierra_3.7.22+unknown',100.0,0.0
