symbole,cluster,representant,provenance,famille,n_membres,n_A,part_A,membres
ES,85,open_within_prev_va,B,NIVEAUX VEILLE,1,0,0.0,open_within_prev_va
ES,65,open_relation_type,B,SESSION / TEMPS,2,0,0.0,open_outside_prev_range|open_relation_type
ES,51,profile_overlap_above_pdh,B,MARKET PROFILE,1,0,0.0,profile_overlap_above_pdh
ES,72,profile_overlap_below_pdl,B,MARKET PROFILE,1,0,0.0,profile_overlap_below_pdl
ES,37,range_extension_above_ib_atr,B,INITIAL BALANCE,1,0,0.0,range_extension_above_ib_atr
ES,41,range_extension_below_ib_atr,B,INITIAL BALANCE,1,0,0.0,range_extension_below_ib_atr
ES,35,range_extension_completed,B,VOLATILITE / REGIME,1,0,0.0,range_extension_completed
ES,118,fvg_up_created_this_bar,B,SWINGS / STRUCTURE,1,0,0.0,fvg_up_created_this_bar
ES,130,fvg_dn_created_this_bar,B,SWINGS / STRUCTURE,1,0,0.0,fvg_dn_created_this_bar
ES,88,sweep_high_active,B,SWINGS / STRUCTURE,1,0,0.0,sweep_high_active
ES,110,sweep_low_active,B,SWINGS / STRUCTURE,1,0,0.0,sweep_low_active
ES,117,sweep_high_this_bar,B,SWINGS / STRUCTURE,1,0,0.0,sweep_high_this_bar
ES,108,sweep_low_this_bar,B,SWINGS / STRUCTURE,1,0,0.0,sweep_low_this_bar
ES,92,gamma_block_long,B,OPTIONS / MENTHORQ,1,0,0.0,gamma_block_long
ES,75,dist_prev_vwap_rth_r,A,NIVEAUX VEILLE,3,3,1.0,dist_prev_vwap_rth_r|dist_pdh_rth_r|dist_pdl_rth_r
ES,125,momentum_3b_r,A,SWINGS / STRUCTURE,2,2,1.0,momentum_3b_r|momentum_5b_r
ES,137,open_in_prev_va,B,NIVEAUX VEILLE,1,0,0.0,open_in_prev_va
ES,138,trend_day_probability_hnorm,B,AUTRES,1,0,0.0,trend_day_probability_hnorm
ES,139,bool_above_mq_hvl,B,OPTIONS / MENTHORQ,1,0,0.0,bool_above_mq_hvl
ES,140,vwap_triple_align,B,VWAP,1,0,0.0,vwap_triple_align
NQ,139,atr,B,VOLATILITE / REGIME,1,0,0.0,atr
NQ,124,dist_vwap_d,A,VWAP,16,9,0.562,dist_vwap_d|dist_vwap_d_atr|dist_vwap_d_sd1d|vwap_d_side|dist_cur_vpoc|dist_cur_val_hnorm|dist_cur_vwap_vp|range_pos_va|bool_above_cur_vpoc|bool_above_vwap_d|dist_vwap_d_pct|premium_zone|discount_zone|dist_single_print_atr|single_print_above|single_print_below
NQ,123,dist_cur_vah,A,MARKET PROFILE,3,3,1.0,dist_vwap_d_sd1u|dist_vwap_d_sd2u|dist_cur_vah
NQ,128,dist_prev_vwap_rth_r,A,NIVEAUX VEILLE,24,17,0.708,dist_vwap_w|dist_vwap_w_atr|vwap_w_side|dist_prev_vpoc|dist_prev_vpoc_atr|dist_prev_vah|dist_prev_val|dist_ovn_high|bool_above_prev_vpoc|bool_above_vwap_w|dist_vwap_w_pct|dist_pdh_pct|dist_pdl_pct|dist_pdh_atr|dist_pdl_atr|dist_asia_open_pct|dist_pvwap_pct|dist_pvwap_sd1u_pct|dist_pvwap_sd1d_pct|dist_pdh|dist_pdl|dist_prev_vwap_rth_r|dist_pdh_rth_r|dist_pdl_rth_r
NQ,112,dist_vwap_m,A,VWAP,6,3,0.5,dist_vwap_m|dist_vwap_m_atr|vwap_m_side|dist_vix_put_0dte|bool_above_vwap_m|dist_vwap_m_pct
NQ,88,inside_cur_va,A,MARKET PROFILE,1,1,1.0,inside_cur_va
NQ,37,ask_pct,A,ORDER FLOW,8,7,0.875,cvd_bar_delta|delta_bar|delta_bar_vol_norm|ask_pct|bid_pct|ask_bid_imbalance|buy_sell_ratio|delta_pct
NQ,84,inside_prev_va,B,MARKET PROFILE,1,0,0.0,inside_prev_va
NQ,101,open_in_prev_va,B,AUTRES,2,0,0.0,open_in_prev_va|trend_day_probability
NQ,143,next_wall_is_call,B,AUTRES,1,0,0.0,next_wall_is_call
NQ,71,gex_cluster_count,B,OPTIONS / MENTHORQ,1,0,0.0,gex_cluster_count
NQ,110,vix_regime,B,OPTIONS / MENTHORQ,1,0,0.0,vix_regime
NQ,104,vix_above_hvl_0dte,B,OPTIONS / MENTHORQ,1,0,0.0,vix_above_hvl_0dte
NQ,74,dist_vix_gex_nearest_up,B,OPTIONS / MENTHORQ,1,0,0.0,dist_vix_gex_nearest_up
NQ,122,dist_vwap_rth_r,A,VWAP,7,6,0.857,dist_ib_high|dist_ib_low|dist_open_cash|above_open_cash|dist_vwap_rth_r|dist_vwap_rth_sd1u_r|dist_vwap_rth_sd1d_r
NQ,114,ib_range_ticks,A,INITIAL BALANCE,2,2,1.0,ib_range_ticks|ib_range
NQ,100,ib_is_wide,B,INITIAL BALANCE,1,0,0.0,ib_is_wide
NQ,137,ib_broken_up,B,INITIAL BALANCE,1,0,0.0,ib_broken_up
NQ,120,ctx_day_type_intensity,B,MARKET PROFILE,3,0,0.0,ib_broken_down|ctx_day_type_intensity|ib_broken_dn
NQ,95,ib_complete,B,INITIAL BALANCE,4,0,0.0,ib_complete|bool_session_early|is_ib_window|ctx_session_phase
NQ,121,dist_ovn_low,A,SESSION / TEMPS,5,2,0.4,dist_open_830|dist_ovn_low|pct_in_range|fvg_up_active|fvg_dn_active
NQ,113,ovn_range_ticks,B,VOLATILITE / REGIME,1,0,0.0,ovn_range_ticks
NQ,119,open_position,B,SESSION / TEMPS,1,0,0.0,open_position
NQ,109,im_delta_day_divergence,B,ORDER FLOW,3,0,0.0,delta_day_dir|cvd_day_dir|im_delta_day_divergence
NQ,65,volume_hnorm,A,AUTRES,3,3,1.0,vol_per_sec_hnorm|total_vol_hnorm|volume_hnorm
NQ,89,bar_duration_sec,B,BARRE / OHLC,1,0,0.0,bar_duration_sec
NQ,38,finish_strength_hnorm,B,AUTRES,1,0,0.0,finish_strength_hnorm
NQ,82,cvd_ohlc_range,B,ORDER FLOW,1,0,0.0,cvd_ohlc_range
NQ,17,rotation_up,B,AUTRES,1,0,0.0,rotation_up
NQ,18,rotation_dn,B,AUTRES,1,0,0.0,rotation_dn
NQ,44,rotation_zz_osc,B,AUTRES,1,0,0.0,rotation_zz_osc
NQ,5,finish_delta_pct,A,ORDER FLOW,2,1,0.5,finish_delta_pct|high_ask_vol_pct
NQ,6,high_pullback_delta,B,ORDER FLOW,1,0,0.0,high_pullback_delta
NQ,28,bn_color_up,B,BATTLE NAVALE,1,0,0.0,bn_color_up
NQ,30,bn_color_dn,B,BATTLE NAVALE,1,0,0.0,bn_color_dn
NQ,31,bn_color_up_2,B,BATTLE NAVALE,1,0,0.0,bn_color_up_2
NQ,32,bn_color_dn_2,B,BATTLE NAVALE,1,0,0.0,bn_color_dn_2
NQ,27,bn_volume_up,B,BATTLE NAVALE,5,0,0.0,bn_long_up|bn_score_raw|bn_score_bull|bn_volume_up|long_up_bar
NQ,29,bn_volume_dn,B,BATTLE NAVALE,4,0,0.0,bn_long_dn|bn_score_bear|bn_volume_dn|long_dn_bar
NQ,13,bn_pressure_ask,B,BATTLE NAVALE,1,0,0.0,bn_pressure_ask
NQ,15,bn_pressure_bid,B,BATTLE NAVALE,1,0,0.0,bn_pressure_bid
