colonne,provenance,motif
im_delta_day_divergence,B,plausibilite OK
im_price_ratio_slope_10,B,plausibilite OK
im_volume_lead,B,plausibilite OK
im_rolling_correlation_10,B,plausibilite OK
im_ltr_slope_diff,C,saut au boot 5x la derive quotidienne
im_cross_open_signal,B,plausibilite OK
im_open_type_agreement,B,plausibilite OK
ts_raw_ms,C,metadonnee ou fuite
prev_vwap_sd2u,C,moins de 100 valeurs
prev_vwap_sd2d,C,moins de 100 valeurs
open_above_prev_vah,B,plausibilite OK
open_within_prev_va,B,plausibilite OK
open_below_prev_val,B,plausibilite OK
open_outside_prev_range,B,plausibilite OK
open_relation_type,B,plausibilite OK
profile_overlap_pct,C,saut au boot 21x la derive quotidienne
profile_overlap_above_pdh,B,plausibilite OK
profile_overlap_below_pdl,B,plausibilite OK
range_extension_above_ib_atr,B,plausibilite OK
range_extension_below_ib_atr,B,plausibilite OK
range_extension_completed,B,plausibilite OK
fvg_up_active,B,plausibilite OK
fvg_dn_active,B,plausibilite OK
fvg_up_created_this_bar,B,plausibilite OK
fvg_dn_created_this_bar,B,plausibilite OK
dist_fvg_up_nearest_atr,C,nulls 99% par jour
dist_fvg_dn_nearest_atr,C,nulls 99% par jour
has_single_prints,C,booleen actif 99.9%
dist_single_print_atr,B,plausibilite OK
single_print_above,B,plausibilite OK
single_print_below,B,plausibilite OK
single_print_density,C,desaccord ES/NQ : C vs B
composite_poc_5d,C,saut au boot 26x la derive quotidienne
composite_poc_20d,C,desaccord ES/NQ : C vs B
dist_composite_poc_5d_atr,B,plausibilite OK
dist_composite_poc_20d_atr,B,plausibilite OK
sweep_high_active,B,plausibilite OK
sweep_low_active,B,plausibilite OK
sweep_high_this_bar,B,plausibilite OK
sweep_low_this_bar,B,plausibilite OK
bars_since_last_sweep_high,C,nulls 47% par jour
bars_since_last_sweep_low,C,nulls 40% par jour
judas_swing_active,C,desaccord ES/NQ : B vs C
judas_swing_direction,C,desaccord ES/NQ : B vs C
london_first_hour_direction,C,nulls 80% par jour
bars_since_london_open,C,nulls 76% par jour
gamma_block_long,C,desaccord ES/NQ : C vs B
gamma_block_short,C,desaccord ES/NQ : C vs B
gamma_threshold_ticks,B,plausibilite OK
gamma_block_reasons_long,C,moins de 100 valeurs
gamma_block_reasons_short,C,moins de 100 valeurs
schema_version,C,metadonnee ou fuite
boot_id,C,metadonnee ou fuite
bars_since_boot,B,plausibilite OK
data_quality_flag,C,moins de 100 valeurs
